Rank,Question_ID,Answer_Index,Answer_Text,Token_Position,Token_LogLikelihood,Token_Probability,Token_Entropy,Overall_AnswerLL,Overall_AnswerProb,Token_Count_in_Answer,SE_before
1,bt_1031--61/61_537330.txt#0_0,1,mandy fields,0,-2.460390090942383,0.08540163006629933,0.21012132426544997,-4.9109266102313995,0.007365660072305214,3,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,1,mandy fields,1,-0.11950019001960754,0.887363839202506,0.10604014730122789,-4.9109266102313995,0.007365660072305214,3,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,1,mandy fields,2,-2.331036329269409,0.09719496888775443,0.22656500339956553,-4.9109266102313995,0.007365660072305214,3,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",0,-2.778749465942383,0.06211613717295238,0.17260518289574522,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",1,-0.3386725187301636,0.7127158119552539,0.2413772590736995,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",2,-0.12505795061588287,0.8824457628273804,0.11035685852886164,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",3,-0.014866165816783905,0.9852437900777293,0.014646797453252166,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",4,-0.6025559306144714,0.5474107027386473,0.3298455653170074,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",5,-0.0011385156540200114,0.9988621322090365,0.0011372200737277392,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",6,-0.4939650297164917,0.6102021216587615,0.30141850905823636,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",7,-2.452143669128418,0.0861087997336167,0.211151148023035,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",8,-1.037916898727417,0.35419173126421816,0.36762158316865196,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",9,-0.013167215511202812,0.9869190930412239,0.012994976290194662,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",10,-0.0010433712741360068,0.9989571728484148,0.0010422831182421315,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",11,-0.5630136728286743,0.5694902179341279,0.32063077913909543,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
1,bt_1031--61/61_537330.txt#0_0,2,"the name of the Prime Minister in Yes, Prime Minister is Maggie Beckett.",12,-5.682409286499023,0.003405344102447956,0.01935055885147495,-17.538253744365647,2.4167580652498987e-08,15,2.253578622836697
